Tier,Total Score,Vendor/Seller Name,ID,Type,Team,PM/AM,Qty Received,PO SKU Received,Damage Rate,Exp Error Rate,Overage Rate,Spec/Image Rate,Wrong Items Rate,UPC Error Rate,Packaging Rate,PO Error Rate,Responsiveness (days),QC Issue Rate,grade_damage,grade_exp_error,grade_overage,grade_spec_image_error,grade_no_data,grade_upc_error,grade_packaging_error,grade_po_error,grade_responsiveness,grade_poor_quality,damage_qty,exp_qty,overage_qty,spec_image_error,no_data_qty,upc_qty,packaging_error,po_qty,poor_quality_qty
A,100.0,US JACLEAN,8,Vendor,Non-food,emi.shi,382.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,100.0,FAYEON,37,Vendor,Food,abby.yu,684.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,100.0,SUFOO LIFE INC （短保空运）,212,Vendor,Food,sonia.yang,1082.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,100.0,测试供应商,225,Vendor,Food,manny.zhang@yamibuy.com,2.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,100.0,Simply Herbs Inc,278,Vendor,Food,janelle.zhang,88.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,100.0,Blossoming Love,472,Vendor,Non-food,rui.sun,48.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,100.0,"Kimnori USA, Inc",484,Vendor,Food,jessica.li,170.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,100.0,Geller International Inc,525,Vendor,Food,zehua.li,412.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,100.0,"Chengdu Junming Medical Device Co., Ltd. (CN)",613,Vendor,Non-food,jillian.ji,718.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,100.0,Annecy KRW,618,Vendor,Non-food,yuri.jang,36.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,100.0,Yajie International Trade,684,Vendor,Non-food,summer.xing,6472.0,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,100.0,Grand SK Corp.,688,Vendor,Non-food,yuri.jang,46.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,100.0,"Meikaya Co., Ltd. (Yen)",729,Vendor,Non-food,haiwei.shen,135.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,100.0,Mercato Commerce U.S. Inc.,779,Vendor,Non-food,kiki.hu,33.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
